category,revenue,orders,items_sold,avg_item_price
health_beauty,1233131.72,8647,9465,130.28
watches_gifts,1166176.98,5495,5859,199.04
bed_bath_table,1023434.76,9272,10953,93.44
sports_leisure,954852.55,7530,8431,113.25
computers_accessories,888724.61,6530,7644,116.26
furniture_decor,711927.69,6307,8160,87.25
housewares,615628.69,5743,6795,90.6
cool_stuff,610204.1,3559,3718,164.12
auto,578966.65,3810,4140,139.85
toys,471286.48,3804,4030,116.94
garden_tools,470495.28,3448,4268,110.24
baby,400421.84,2809,2982,134.28
perfumery,390144.65,3086,3340,116.81
telephony,309860.23,4093,4430,69.95
office_furniture,268154.31,1254,1668,160.76
stationery,223788.69,2264,2466,90.75
computers,218684.14,177,199,1098.92
pet_shop,211695.64,1688,1924,110.03
musical_instruments,184315.74,611,651,283.13
small_appliances,182754.12,609,658,277.74
Unknown,170726.63,1392,1537,111.08
electronics,155043.93,2517,2729,56.81
fashion_bags_accessories,149329.39,1820,1985,75.23
consoles_games,148003.37,1018,1089,135.91
construction_tools_construction,142108.49,736,916,155.14
luggage_accessories,138701.63,1019,1077,128.79
home_appliances_2,107953.95,227,231,467.33
home_construction,81407.57,483,596,136.59
home_appliances,78832.48,747,754,104.55
agro_industry_and_commerce,70566.1,177,206,342.55
furniture_living_room,67350.7,414,495,136.06
home_confort,58008.45,392,429,135.22
fixed_telephony,55315.21,212,255,216.92
air_conditioning,53323.56,246,289,184.51
audio,50570.6,348,362,139.7
small_appliances_home_oven_and_coffee,46589.56,72,73,638.21
kitchen_dining_laundry_garden_furniture,45531.98,241,274,166.18
books_general_interest,45302.15,496,537,84.36
construction_tools_lights,39957.0,242,301,132.75
construction_tools_safety,38773.22,159,183,211.88
industry_commerce_and_business,38498.81,232,265,145.28
food,28731.15,441,499,57.58
market_place,27795.77,274,305,91.13
costruction_tools_garden,25096.28,190,232,108.17
art,23657.3,195,197,120.09
fashion_shoes,23001.46,235,257,89.5
drinks,21529.84,287,361,59.64
signaling_and_security,21315.05,138,197,108.2
furniture_bedroom,19051.8,90,103,184.97
books_technical,18702.23,256,263,71.11
costruction_tools_tools,15903.95,97,103,154.41
food_drink,14942.88,221,269,55.55
fashion_male_clothing,10452.33,106,125,83.62
fashion_underwear_beach,9305.95,117,127,73.28
christmas_supplies,8737.84,125,150,58.25
tablets_printing_image,7528.41,79,83,90.7
cine_photo,6674.47,63,70,95.35
music,6034.35,38,38,158.8
dvds_blu_ray,4542.59,56,61,74.47
party_supplies,4465.19,38,42,106.31
books_imported,4418.86,50,57,77.52
furniture_mattress_and_upholstery,4323.38,37,37,116.85
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13,14,280.97
fashio_female_clothing,2634.94,36,45,58.55
fashion_sport,2094.52,26,29,72.22
la_cuisine,2054.99,13,14,146.78
arts_and_craftmanship,1814.01,23,24,75.58
diapers_and_hygiene,1500.79,25,37,40.56
pc_gamer,1306.95,7,8,163.37
flowers,1110.04,29,33,33.64
home_comfort_2,760.27,24,30,25.34
cds_dvds_musicals,730.0,12,14,52.14
fashion_childrens_clothes,519.95,7,7,74.28
security_and_services,283.29,2,2,141.65
